RUN	activitidatabase.ThroughtSimulation	throughtsimulation	1543672662784	 	3.0.1.1
REQUEST	14		completeTask	1543672669716	1543672670363	OK	 
REQUEST	15		completeTask	1543672669904	1543672670375	OK	 
REQUEST	31		startProcess	1543672670140	1543672670433	OK	 
REQUEST	24		getCurrentSingleTask	1543672670407	1543672670450	OK	 
USER	online shopping	33	START	1543672670476	1543672670476
REQUEST	16		completeTask	1543672670050	1543672670489	OK	 
REQUEST	32		startProcess	1543672670311	1543672670498	OK	 
USER	online shopping	34	START	1543672670646	1543672670646
REQUEST	8		getCurrentSingleTask	1543672670667	1543672670689	OK	 
REQUEST	33		startProcess	1543672670477	1543672670752	OK	 
USER	online shopping	35	START	1543672670807	1543672670807
REQUEST	34		startProcess	1543672670647	1543672670828	OK	 
REQUEST	25		getCurrentSingleTask	1543672670797	1543672670845	OK	 
REQUEST	17		completeTask	1543672670467	1543672670848	OK	 
REQUEST	35		startProcess	1543672670808	1543672670958	OK	 
REQUEST	27		getCurrentSingleTask	1543672670929	1543672670964	OK	 
REQUEST	26		getCurrentSingleTask	1543672670938	1543672670969	OK	 
USER	online shopping	36	START	1543672670979	1543672670979
REQUEST	18		completeTask	1543672670637	1543672670991	OK	 
REQUEST	9		getCurrentSingleTask	1543672671001	1543672671045	OK	 
REQUEST	28		getCurrentSingleTask	1543672671001	1543672671053	OK	 
USER	online shopping	37	START	1543672671147	1543672671147
REQUEST	10		getCurrentSingleTask	1543672671049	1543672671222	OK	 
REQUEST	29		getCurrentSingleTask	1543672671088	1543672671267	OK	 
REQUEST	11		getCurrentSingleTask	1543672671097	1543672671269	OK	 
USER	online shopping	38	START	1543672671297	1543672671297
REQUEST	20		completeTask	1543672670837	1543672671345	OK	 
REQUEST	19		completeTask	1543672670822	1543672671355	OK	 
REQUEST	1		completeTask	1543672670837	1543672671374	OK	 
REQUEST	30		getCurrentSingleTask	1543672671297	1543672671380	OK	 
REQUEST	36		startProcess	1543672670980	1543672671417	OK	 
REQUEST	12		getCurrentSingleTask	1543672671128	1543672671426	OK	 
REQUEST	14		getCurrentSingleTask	1543672671358	1543672671436	OK	 
REQUEST	15		getCurrentSingleTask	1543672671380	1543672671437	OK	 
USER	online shopping	39	START	1543672671469	1543672671469
REQUEST	13		getCurrentSingleTask	1543672671317	1543672671486	OK	 
REQUEST	31		getCurrentSingleTask	1543672671450	1543672671515	OK	 
REQUEST	16		getCurrentSingleTask	1543672671484	1543672671539	OK	 
REQUEST	38		startProcess	1543672671298	1543672671562	OK	 
REQUEST	32		getCurrentSingleTask	1543672671512	1543672671563	OK	 
REQUEST	37		startProcess	1543672671148	1543672671628	OK	 
REQUEST	3		completeTask	1543672671013	1543672671639	OK	 
USER	online shopping	40	START	1543672671646	1543672671646
REQUEST	39		startProcess	1543672671471	1543672671668	OK	 
REQUEST	2		completeTask	1543672671001	1543672671676	OK	 
REQUEST	22		completeTask	1543672671078	1543672671681	OK	 
REQUEST	5		completeTask	1543672671049	1543672671688	OK	 
REQUEST	21		completeTask	1543672671016	1543672671690	OK	 
REQUEST	4		completeTask	1543672671037	1543672671691	OK	 
REQUEST	6		completeTask	1543672671097	1543672671710	OK	 
REQUEST	7		completeTask	1543672671233	1543672671723	OK	 
REQUEST	33		getCurrentSingleTask	1543672671766	1543672671798	OK	 
USER	online shopping	41	START	1543672671806	1543672671806
REQUEST	23		completeTask	1543672671138	1543672671836	OK	 
REQUEST	40		startProcess	1543672671648	1543672671854	OK	 
REQUEST	34		getCurrentSingleTask	1543672671847	1543672671915	OK	 
REQUEST	17		getCurrentSingleTask	1543672671858	1543672671919	OK	 
REQUEST	24		completeTask	1543672671460	1543672671925	OK	 
USER	online shopping	42	START	1543672671978	1543672671978
USER	online shopping	43	START	1543672672148	1543672672148
REQUEST	35		getCurrentSingleTask	1543672671979	1543672672225	OK	 
