RUN	activitidatabase.ThroughtSimulation	throughtsimulation	1543672899992	 	3.0.1.1
USER	online shopping	1	START	1543672902241	1543672902241
USER	online shopping	2	START	1543672902881	1543672902881
USER	online shopping	3	START	1543672903383	1543672903383
USER	online shopping	4	START	1543672903880	1543672903880
USER	online shopping	5	START	1543672904380	1543672904380
USER	online shopping	6	START	1543672904706	1543672904706
USER	online shopping	7	START	1543672905202	1543672905202
USER	online shopping	8	START	1543672905714	1543672905714
USER	online shopping	9	START	1543672906211	1543672906211
USER	online shopping	10	START	1543672906703	1543672906703
USER	online shopping	11	START	1543672907202	1543672907202
USER	online shopping	12	START	1543672907703	1543672907703
USER	online shopping	13	START	1543672908200	1543672908200
USER	online shopping	14	START	1543672908700	1543672908700
USER	online shopping	15	START	1543672909200	1543672909200
USER	online shopping	16	START	1543672909710	1543672909710
USER	online shopping	17	START	1543672910214	1543672910214
USER	online shopping	18	START	1543672910710	1543672910710
USER	online shopping	19	START	1543672911211	1543672911211
USER	online shopping	20	START	1543672911711	1543672911711
REQUEST	1		startProcess	1543672902376	1543672911809	OK	 
REQUEST	2		startProcess	1543672902883	1543672913767	OK	 
REQUEST	4		startProcess	1543672903881	1543672915038	OK	 
REQUEST	3		startProcess	1543672903385	1543672915290	OK	 
REQUEST	6		startProcess	1543672904710	1543672915604	OK	 
REQUEST	8		startProcess	1543672905715	1543672915885	OK	 
REQUEST	7		startProcess	1543672905204	1543672915885	OK	 
REQUEST	1		getCurrentSingleTask	1543672912845	1543672915887	OK	 
REQUEST	2		getCurrentSingleTask	1543672914784	1543672916264	OK	 
REQUEST	5		startProcess	1543672904382	1543672917878	OK	 
REQUEST	9		startProcess	1543672906213	1543672917878	OK	 
REQUEST	4		getCurrentSingleTask	1543672916051	1543672918032	OK	 
REQUEST	3		getCurrentSingleTask	1543672916301	1543672918034	OK	 
REQUEST	10		startProcess	1543672906705	1543672918551	OK	 
REQUEST	6		getCurrentSingleTask	1543672916621	1543672918553	OK	 
REQUEST	7		getCurrentSingleTask	1543672916891	1543672918568	OK	 
REQUEST	8		getCurrentSingleTask	1543672916891	1543672919260	OK	 
REQUEST	15		startProcess	1543672909202	1543672919357	OK	 
REQUEST	11		startProcess	1543672907203	1543672919359	OK	 
