RUN	activitiadmissiondatabase.ProcessTestWithRTLSimulation	processtestwithrtlsimulation	1545965223958	 	3.0.1.1
USER	auto online shopping2	1	START	1545965225587	1545965225587
USER	auto online shopping2	2	START	1545965226595	1545965226595
REQUEST	1		startProcessInstanceById	1545965225623	1545965226605	OK	 
REQUEST	2		startProcessInstanceById	1545965226596	1545965226863	OK	 
REQUEST	1		getCurrentSingleTask	1545965226694	1545965226866	OK	 
REQUEST	2		getCurrentSingleTask	1545965226865	1545965227077	OK	 
USER	auto online shopping2	3	START	1545965228587	1545965228587
REQUEST	1		completeTask	1545965228809	1545965229521	OK	 
REQUEST	1		getCurrentSingleTask	1545965229524	1545965231073	OK	 
REQUEST	3		startProcessInstanceById	1545965228588	1545965232330	OK	 
REQUEST	2		completeTask	1545965229088	1545965232427	OK	 
REQUEST	2		getCurrentSingleTask	1545965232428	1545965232519	OK	 
REQUEST	3		getCurrentSingleTask	1545965232331	1545965232549	OK	 
REQUEST	1		completeTask	1545965232068	1545965232607	OK	 
REQUEST	1		getCurrentSingleTask	1545965232608	1545965232677	OK	 
REQUEST	2		completeTask	1545965233530	1545965233756	OK	 
REQUEST	2		getCurrentSingleTask	1545965233757	1545965233849	OK	 
REQUEST	3		completeTask	1545965234568	1545965234935	OK	 
REQUEST	3		getCurrentSingleTask	1545965234936	1545965235039	OK	 
REQUEST	1		completeTask	1545965235679	1545965235866	OK	 
REQUEST	1		getCurrentSingleTask	1545965235867	1545965235890	OK	 
REQUEST	3		completeTask	1545965236048	1545965236563	OK	 
REQUEST	3		getCurrentSingleTask	1545965236564	1545965236669	OK	 
REQUEST	1		completeTask	1545965236887	1545965237164	OK	 
USER	auto online shopping2	1	END	1545965225587	1545965237167
REQUEST	2		completeTask	1545965236856	1545965237246	OK	 
REQUEST	2		getCurrentSingleTask	1545965237247	1545965237343	OK	 
REQUEST	2		completeTask	1545965238334	1545965238583	OK	 
USER	auto online shopping2	2	END	1545965226595	1545965238584
REQUEST	3		completeTask	1545965239665	1545965239811	OK	 
REQUEST	3		getCurrentSingleTask	1545965239812	1545965239833	OK	 
REQUEST	3		completeTask	1545965240821	1545965241050	OK	 
USER	auto online shopping2	3	END	1545965228587	1545965241051
