RUN	activitiadmissiondatabase.ProcessTestWithRTLSimulation	processtestwithrtlsimulation	1545914257783	 	3.0.1.1
USER	auto online shopping2	1	START	1545914259845	1545914259845
USER	auto online shopping2	2	START	1545914260853	1545914260853
REQUEST	1		startProcessInstanceById	1545914259881	1545914261885	OK	 
REQUEST	2		startProcessInstanceById	1545914260854	1545914261912	OK	 
REQUEST	2		getCurrentSingleTask	1545914262008	1545914262273	OK	 
REQUEST	1		getCurrentSingleTask	1545914262010	1545914262279	OK	 
USER	auto online shopping2	3	START	1545914262846	1545914262846
REQUEST	3		startProcessInstanceById	1545914262847	1545914262991	OK	 
REQUEST	3		getCurrentSingleTask	1545914262992	1545914263013	OK	 
REQUEST	2		completeTask	1545914264210	1545914264712	OK	 
REQUEST	2		getCurrentSingleTask	1545914264714	1545914264740	OK	 
REQUEST	1		completeTask	1545914264181	1545914264747	OK	 
REQUEST	1		getCurrentSingleTask	1545914264749	1545914265080	OK	 
REQUEST	3		completeTask	1545914265055	1545914265200	OK	 
REQUEST	3		getCurrentSingleTask	1545914265201	1545914265225	OK	 
REQUEST	2		completeTask	1545914265722	1545914265848	OK	 
REQUEST	2		getCurrentSingleTask	1545914265849	1545914265866	OK	 
REQUEST	1		completeTask	1545914266083	1545914266335	OK	 
REQUEST	1		getCurrentSingleTask	1545914266336	1545914266359	OK	 
REQUEST	3		completeTask	1545914266204	1545914266446	OK	 
REQUEST	3		getCurrentSingleTask	1545914266447	1545914266467	OK	 
REQUEST	2		completeTask	1545914268862	1545914268990	OK	 
REQUEST	2		getCurrentSingleTask	1545914268991	1545914269008	OK	 
REQUEST	1		completeTask	1545914269355	1545914269493	OK	 
REQUEST	1		getCurrentSingleTask	1545914269493	1545914269508	OK	 
REQUEST	3		completeTask	1545914269465	1545914269589	OK	 
REQUEST	3		getCurrentSingleTask	1545914269590	1545914269605	OK	 
REQUEST	2		completeTask	1545914270014	1545914270149	OK	 
USER	auto online shopping2	2	END	1545914260853	1545914270177
REQUEST	1		completeTask	1545914270516	1545914270667	OK	 
USER	auto online shopping2	1	END	1545914259845	1545914270668
REQUEST	3		completeTask	1545914270606	1545914270733	OK	 
USER	auto online shopping2	3	END	1545914262846	1545914270734
