RUN	activitidatabase.ThroughtSimulation	throughtsimulation	1543672580513	 	3.0.1.1
USER	online shopping	1	START	1543672582861	1543672582861
REQUEST	1		startProcess	1543672582945	1543672583220	OK	 
USER	online shopping	2	START	1543672583452	1543672583452
REQUEST	2		startProcess	1543672583453	1543672583766	OK	 
USER	online shopping	3	START	1543672583955	1543672583955
REQUEST	3		startProcess	1543672583958	1543672584216	OK	 
REQUEST	1		getCurrentSingleTask	1543672584251	1543672584333	OK	 
USER	online shopping	4	START	1543672584453	1543672584453
REQUEST	4		startProcess	1543672584455	1543672584808	OK	 
REQUEST	2		getCurrentSingleTask	1543672584775	1543672584833	OK	 
USER	online shopping	5	START	1543672584956	1543672584956
REQUEST	3		getCurrentSingleTask	1543672585235	1543672585295	OK	 
REQUEST	5		startProcess	1543672584958	1543672585292	OK	 
USER	online shopping	6	START	1543672585344	1543672585344
REQUEST	6		startProcess	1543672585346	1543672585505	OK	 
REQUEST	1		completeTask	1543672585324	1543672585703	OK	 
USER	online shopping	7	START	1543672585843	1543672585843
REQUEST	4		getCurrentSingleTask	1543672585823	1543672585884	OK	 
REQUEST	7		startProcess	1543672585845	1543672586034	OK	 
REQUEST	2		completeTask	1543672585835	1543672586234	OK	 
USER	online shopping	8	START	1543672586343	1543672586343
REQUEST	5		getCurrentSingleTask	1543672586314	1543672586372	OK	 
REQUEST	8		startProcess	1543672586346	1543672586566	OK	 
REQUEST	6		getCurrentSingleTask	1543672586524	1543672586574	OK	 
REQUEST	3		completeTask	1543672586306	1543672586704	OK	 
REQUEST	1		getCurrentSingleTask	1543672586714	1543672586761	OK	 
USER	online shopping	9	START	1543672586844	1543672586844
REQUEST	7		getCurrentSingleTask	1543672587056	1543672587115	OK	 
REQUEST	9		startProcess	1543672586848	1543672587149	OK	 
REQUEST	2		getCurrentSingleTask	1543672587246	1543672587279	OK	 
REQUEST	4		completeTask	1543672586883	1543672587332	OK	 
USER	online shopping	10	START	1543672587336	1543672587336
REQUEST	10		startProcess	1543672587337	1543672587500	OK	 
REQUEST	8		getCurrentSingleTask	1543672587583	1543672587617	OK	 
REQUEST	5		completeTask	1543672587377	1543672587723	OK	 
REQUEST	3		getCurrentSingleTask	1543672587709	1543672587760	OK	 
USER	online shopping	11	START	1543672587845	1543672587845
REQUEST	6		completeTask	1543672587573	1543672587920	OK	 
REQUEST	11		startProcess	1543672587846	1543672588069	OK	 
REQUEST	9		getCurrentSingleTask	1543672588163	1543672588219	OK	 
REQUEST	1		completeTask	1543672587766	1543672588228	OK	 
USER	online shopping	12	START	1543672588342	1543672588342
REQUEST	4		getCurrentSingleTask	1543672588333	1543672588359	OK	 
REQUEST	7		completeTask	1543672588117	1543672588532	OK	 
REQUEST	10		getCurrentSingleTask	1543672588513	1543672588557	OK	 
