RUN	activitidatabase.ThroughtSimulation	throughtsimulation	1543672468815	 	3.0.1.1
USER	online shopping	1	START	1543672471137	1543672471137
REQUEST	1		startProcess	1543672471218	1543672471498	OK	 
REQUEST	1		getCurrentSingleTask	1543672472532	1543672472599	OK	 
REQUEST	1		completeTask	1543672473597	1543672474230	OK	 
REQUEST	1		getCurrentSingleTask	1543672475219	1543672475296	OK	 
USER	online shopping	2	START	1543672476119	1543672476119
REQUEST	2		startProcess	1543672476120	1543672476344	OK	 
REQUEST	1		completeTask	1543672476310	1543672476764	OK	 
REQUEST	2		getCurrentSingleTask	1543672477358	1543672477433	OK	 
REQUEST	1		getCurrentSingleTask	1543672477759	1543672477848	OK	 
REQUEST	2		completeTask	1543672478438	1543672478957	OK	 
REQUEST	1		completeTask	1543672478841	1543672479209	OK	 
REQUEST	2		getCurrentSingleTask	1543672479958	1543672480016	OK	 
REQUEST	1		getCurrentSingleTask	1543672480216	1543672480252	OK	 
REQUEST	2		completeTask	1543672481018	1543672481456	OK	 
REQUEST	1		completeTask	1543672481247	1543672481669	OK	 
REQUEST	2		getCurrentSingleTask	1543672482456	1543672482541	OK	 
USER	online shopping	1	END	1543672471137	1543672482680
REQUEST	2		completeTask	1543672483546	1543672483988	OK	 
REQUEST	2		getCurrentSingleTask	1543672484990	1543672485062	OK	 
REQUEST	2		completeTask	1543672486058	1543672486587	OK	 
USER	online shopping	2	END	1543672476119	1543672487596
