RUN	activitiadmissiondatabase.ProcessTestWithRTLSimulation	processtestwithrtlsimulation	1545051609437	1	3.0.1.1
USER	auto online shopping	1	START	1545051611078	1545051611078
USER	auto online shopping	2	START	1545051611172	1545051611172
USER	auto online shopping	3	START	1545051611198	1545051611198
USER	auto online shopping	4	START	1545051611238	1545051611238
REQUEST	1		startProcessInstanceById	1545051611109	1545051611165	OK	 
REQUEST	2		startProcessInstanceById	1545051611173	1545051611229	OK	 
USER	auto online shopping	5	START	1545051611268	1545051611268
REQUEST	2		getCurrentSingleTask	1545051611260	1545051611268	OK	 
REQUEST	1		getCurrentSingleTask	1545051611260	1545051611268	OK	 
REQUEST	3		startProcessInstanceById	1545051611198	1545051611279	OK	 
REQUEST	3		getCurrentSingleTask	1545051611280	1545051611286	OK	 
USER	auto online shopping	6	START	1545051611308	1545051611308
USER	auto online shopping	7	START	1545051611348	1545051611348
USER	auto online shopping	8	START	1545051611378	1545051611378
REQUEST	4		startProcessInstanceById	1545051611239	1545051611381	OK	 
REQUEST	4		getCurrentSingleTask	1545051611382	1545051611388	OK	 
REQUEST	5		startProcessInstanceById	1545051611269	1545051611413	OK	 
REQUEST	6		startProcessInstanceById	1545051611309	1545051611414	OK	 
REQUEST	7		startProcessInstanceById	1545051611349	1545051611414	OK	 
USER	auto online shopping	9	START	1545051611418	1545051611418
REQUEST	7		getCurrentSingleTask	1545051611415	1545051611422	OK	 
REQUEST	5		getCurrentSingleTask	1545051611414	1545051611422	OK	 
REQUEST	6		getCurrentSingleTask	1545051611415	1545051611423	OK	 
REQUEST	8		startProcessInstanceById	1545051611379	1545051611446	OK	 
USER	auto online shopping	10	START	1545051611448	1545051611448
REQUEST	8		getCurrentSingleTask	1545051611447	1545051611453	OK	 
REQUEST	9		startProcessInstanceById	1545051611418	1545051611480	OK	 
REQUEST	9		getCurrentSingleTask	1545051611481	1545051611486	OK	 
USER	auto online shopping	11	START	1545051611488	1545051611488
USER	auto online shopping	12	START	1545051611514	1545051611514
REQUEST	10		startProcessInstanceById	1545051611448	1545051611538	OK	 
REQUEST	10		getCurrentSingleTask	1545051611539	1545051611546	OK	 
USER	auto online shopping	13	START	1545051611554	1545051611554
REQUEST	11		startProcessInstanceById	1545051611489	1545051611572	OK	 
REQUEST	12		startProcessInstanceById	1545051611515	1545051611572	OK	 
REQUEST	11		getCurrentSingleTask	1545051611573	1545051611580	OK	 
REQUEST	12		getCurrentSingleTask	1545051611573	1545051611580	OK	 
USER	auto online shopping	14	START	1545051611594	1545051611594
REQUEST	13		startProcessInstanceById	1545051611555	1545051611605	OK	 
REQUEST	13		getCurrentSingleTask	1545051611606	1545051611612	OK	 
USER	auto online shopping	15	START	1545051611632	1545051611632
REQUEST	14		startProcessInstanceById	1545051611595	1545051611640	OK	 
REQUEST	14		getCurrentSingleTask	1545051611641	1545051611647	OK	 
USER	auto online shopping	16	START	1545051611664	1545051611664
REQUEST	15		startProcessInstanceById	1545051611632	1545051611680	OK	 
REQUEST	15		getCurrentSingleTask	1545051611681	1545051611687	OK	 
USER	auto online shopping	17	START	1545051611694	1545051611694
REQUEST	16		startProcessInstanceById	1545051611665	1545051611714	OK	 
REQUEST	16		getCurrentSingleTask	1545051611715	1545051611720	OK	 
USER	auto online shopping	18	START	1545051611741	1545051611741
REQUEST	17		startProcessInstanceById	1545051611695	1545051611747	OK	 
